名称,描述,图片链接,基础价格(普通/银/金/铱),渔夫职业价格,垂钓者职业价格,位置,时间,季节,天气,尺寸（厘米）,难度和行为,基础经验,用途
河鲈,一种冬季淡水鱼。,https://stardewvalleywiki.com/mediawiki/images/4/43/Perch.png,普通:55; 银星:68; 金星:82; 铱星:110,普通:68; 银星:85; 金星:102; 铱星:137,普通:82; 银星:102; 金星:123; 铱星:165,河流（小镇+森林）; 煤矿森林池塘; 深山湖泊,任意时间,冬季,任何,25~64,35 混合型,14,
鲤鱼,一种常见的池鱼。,https://stardewvalleywiki.com/mediawiki/images/a/a8/Carp.png,普通:30; 银星:37; 金星:45; 铱星:60,普通:37; 银星:46; 金星:56; 铱星:75,普通:45; 银星:55; 金星:67; 铱星:90,深山湖泊; 下水道; 秘密森林池塘,任意时间,任意季节,任何,38~130,15 混合型,8,湖鱼收集包 惊喜鲤鱼
鲶鱼,一种能在小溪里找到的罕见鱼类。,https://stardewvalleywiki.com/mediawiki/images/9/99/Catfish.png,普通:200; 银星:250; 金星:300; 铱星:400,普通:250; 银星:312; 金星:375; 铱星:500,普通:300; 银星:375; 金星:450; 铱星:600,河流（小镇+森林）; 秘密森林池塘; 巫婆沼泽,上午6:00至凌晨0:00,春季; 秋季; （ 春季和; 夏季在秘密森林池塘里）,雨天,30~185,75 混合型,28,河鱼收集包 威利（最爱的礼物）
狗鱼,一种很难捕捉的淡水鱼。,https://stardewvalleywiki.com/mediawiki/images/3/31/Pike.png,普通:100; 银星:125; 金星:150; 铱星:200,普通:125; 银星:156; 金星:187; 铱星:250,普通:150; 银星:187; 金星:225; 铱星:300,河流（小镇+森林）; 煤矿森林池塘,任意时间,夏季; 冬季,任何,38~155,60 猛冲型,23,
太阳鱼,一种常见的河鱼。,https://stardewvalleywiki.com/mediawiki/images/5/56/Sunfish.png,普通:30; 银星:37; 金星:45; 铱星:60,普通:37; 银星:46; 金星:56; 铱星:75,普通:45; 银星:55; 金星:67; 铱星:90,河流（小镇+森林）,上午6:00至晚上7:00,春季; 夏季,晴天; 风,13~41,30 混合型,13,河鱼收集包 烤鱼
红鲻鱼,从前它们被当做宠物饲养。,https://stardewvalleywiki.com/mediawiki/images/f/f2/Red_Mullet.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,海洋,上午6:00至晚上7:00,夏季; 冬季,任何,20~58,55 平滑型,21,
鲱鱼,一种常见的海鱼。,https://stardewvalleywiki.com/mediawiki/images/f/f1/Herring.png,普通:30; 银星:37; 金星:45; 铱星:60,普通:37; 银星:46; 金星:56; 铱星:75,普通:45; 银星:55; 金星:67; 铱星:90,海洋,任意时间,春季; 冬季,任何,20~53,25 猛冲型,11,
鳗鱼,一种长而滑溜的小鱼。,https://stardewvalleywiki.com/mediawiki/images/9/91/Eel.png,普通:85; 银星:106; 金星:127; 铱星:170,普通:106; 银星:132; 金星:158; 铱星:212,普通:127; 银星:159; 金星:190; 铱星:255,海洋,下午4:00至凌晨2:00,春季; 秋季,雨天,30~206,70 平滑型,26,夜间垂钓收集包 炒鳗鱼 香辣鳗鱼
章鱼,一种神秘聪明的生物。,https://stardewvalleywiki.com/mediawiki/images/5/5a/Octopus.png,普通:150; 银星:187; 金星:225; 铱星:300,普通:187; 银星:233; 金星:281; 铱星:375,普通:225; 银星:280; 金星:337; 铱星:450,海洋，姜岛海洋,上午6:00至下午1:00,夏季; （姜岛任意季节）,任何,30~124,95 下坠型,34,钓鱼大师收集包 威利（最爱的礼物）
红鲷鱼,一种身上是漂亮红色的受欢迎鱼类。,https://stardewvalleywiki.com/mediawiki/images/d/d3/Red_Snapper.png,普通:50; 银星:62; 金星:75; 铱星:100,普通:62; 银星:77; 金星:93; 铱星:125,普通:75; 银星:93; 金星:112; 铱星:150,海洋,上午6:00至晚上7:00,夏季; 秋季; 冬季使用雨水图腾,雨天,20~66,40 混合型,16,海鱼收集包
鱿鱼,一种可以长得很大的深海生物。,https://stardewvalleywiki.com/mediawiki/images/8/81/Squid.png,普通:80; 银星:100; 金星:120; 铱星:160,普通:100; 银星:125; 金星:150; 铱星:200,普通:120; 银星:150; 金星:180; 铱星:240,海洋,下午6:00至凌晨2:00,冬季,任何,30~124,75 下坠型,28,"炸鱿鱼 ""捕条鱿鱼""任务"
海参,一种在海底能找到的黏滑生物。,https://stardewvalleywiki.com/mediawiki/images/a/a9/Sea_Cucumber.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,海洋,上午6:00至晚上7:00,秋季; 冬季,任何,8~53,40 下坠型,16,幸运午餐 威利（最爱的礼物）
大海参,一种稀有紫色品种的海参。,https://stardewvalleywiki.com/mediawiki/images/d/d5/Super_Cucumber.png,普通:250; 银星:312; 金星:375; 铱星:500,普通:312; 银星:390; 金星:468; 铱星:625,普通:375; 银星:468; 金星:562; 铱星:750,海洋，姜岛海洋,下午6:00至凌晨2:00,夏季; 秋季; （姜岛任意季节）,任何,30~94,80 下坠型,29,法师（最爱的礼物）
鬼鱼,一种在地下湖里能找到的苍白色的盲鱼。,https://stardewvalleywiki.com/mediawiki/images/7/72/Ghostfish.png,普通:45; 银星:56; 金星:67; 铱星:90,普通:56; 银星:70; 金星:83; 铱星:112,普通:67; 银星:84; 金星:100; 铱星:135,矿井（20、60）; 幽灵掉落,任意时间,任意季节,任何,25~91,50 混合型,19,特色鱼类收集包
石鱼,一种形状像砖块的奇怪鱼类。,https://stardewvalleywiki.com/mediawiki/images/0/03/Stonefish.png,普通:300; 银星:375; 金星:450; 铱星:600,普通:375; 银星:468; 金星:562; 铱星:750,普通:450; 银星:562; 金星:675; 铱星:900,矿井 20层,任意时间,任意季节,任何,36~41,65 下坠型,24,
冰柱鱼,一种在极寒条件下生长的稀有鱼类。,https://stardewvalleywiki.com/mediawiki/images/6/63/Ice_Pip.png,普通:500; 银星:625; 金星:750; 铱星:1000,普通:625; 银星:781; 金星:937; 铱星:1250,普通:750; 银星:937; 金星:1125; 铱星:1500,矿井 60层,任意时间,任意季节,任何,18~23,85 猛冲型,31,
岩浆鳗鱼,它可以在炽热的岩浆中生存。,https://stardewvalleywiki.com/mediawiki/images/1/12/Lava_Eel.png,普通:700; 银星:875; 金星:1050; 铱星:1400,普通:875; 银星:1093; 金星:1312; 铱星:1750,普通:1050; 银星:1312; 金星:1575; 铱星:2100,矿井 100层; 火山口,任意时间,任意季节,任何,79~84,90 混合型,33,钓鱼大师收集包 矮人（最爱的礼物）
沙鱼,它用保护色隐藏自己。,https://stardewvalleywiki.com/mediawiki/images/b/bb/Sandfish.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,沙漠,上午6:00至晚上8:00,任意季节,任何,20~64,65 混合型,24,特色鱼类收集包 潘妮（最爱的礼物）
蝎鲤鱼,它和普通的鲤鱼很像，但是它有锋利的毒刺。,https://stardewvalleywiki.com/mediawiki/images/7/76/Scorpion_Carp.png,普通:150; 银星:187; 金星:225; 铱星:300,普通:187; 银星:233; 金星:281; 铱星:375,普通:225; 银星:280; 金星:337; 铱星:450,沙漠,上午6:00至晚上8:00,任意季节,任何,30~84,90 猛冲型,33,钓鱼大师收集包
比目鱼,它生活在底部，所以两只眼睛都在它的头顶上。,https://stardewvalleywiki.com/mediawiki/images/8/85/Flounder.png,普通:100; 银星:125; 金星:150; 铱星:200,普通:125; 银星:156; 金星:187; 铱星:250,普通:150; 银星:187; 金星:225; 铱星:300,海洋，姜岛海洋,上午6:00至晚上8:00,春季; 夏季; （姜岛任意季节）,任何,10~43,50 下坠型,19,海泡布丁
午夜鲤鱼,这种害羞的鱼只在晚上感到舒适。,https://stardewvalleywiki.com/mediawiki/images/3/33/Midnight_Carp.png,普通:150; 银星:187; 金星:225; 铱星:300,普通:187; 银星:233; 金星:281; 铱星:375,普通:225; 银星:280; 金星:337; 铱星:450,深山湖泊; 煤矿森林池塘; 姜岛池塘与河流,晚上10:00至凌晨2:00,秋季; 冬季; （姜岛任意季节）,任何,30~135,55 混合型,21,海泡布丁
鲟鱼,古老的生物链底层生物，数量一直在减少。雌性的寿命长达 150 年。,https://stardewvalleywiki.com/mediawiki/images/4/42/Sturgeon.png,普通:200; 银星:250; 金星:300; 铱星:400,普通:250; 银星:312; 金星:375; 铱星:500,普通:300; 银星:375; 金星:450; 铱星:600,深山湖泊,上午6:00至晚上7:00,夏季; 冬季,任何,30~155,78 混合型,29,湖鱼收集包 威利（最爱的礼物）
虎纹鳟鱼,一种不能繁殖后代的稀有杂交鳟鱼。,https://stardewvalleywiki.com/mediawiki/images/0/01/Tiger_Trout.png,普通:150; 银星:187; 金星:225; 铱星:300,普通:187; 银星:233; 金星:281; 铱星:375,普通:225; 银星:280; 金星:337; 铱星:450,河流（小镇+森林）,上午6:00至晚上7:00,秋季; 冬季,任何,25~53,60 猛冲型,23,河鱼收集包
大头鱼,鲶鱼的近亲，以湖底的多种食物为食。,https://stardewvalleywiki.com/mediawiki/images/d/db/Bullhead.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,深山湖泊,任意时间,任意季节,任何,30~79,46 平滑型,18,湖鱼收集包
罗非鱼,一种主要食素、喜爱温水的鱼。,https://stardewvalleywiki.com/mediawiki/images/7/73/Tilapia.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,海洋，姜岛河流,上午6:00至下午2:00,夏季; 秋季; （姜岛任意时间）,任何,28~79,50 混合型,19,海鱼收集包
鲢鱼,一种常见的淡水鱼，因贪吃的食性而广为人知。,https://stardewvalleywiki.com/mediawiki/images/b/bd/Chub.png,普通:50; 银星:62; 金星:75; 铱星:100,普通:62; 银星:77; 金星:93; 铱星:125,普通:75; 银星:93; 金星:112; 铱星:150,河流（森林）; 深山湖泊,任意时间,任意季节,任何,30~64,35 猛冲型,14,土地研究收集包
麻哈脂鲤,凶猛的肉食鱼，有着绚烂的橙色鳞片。,https://stardewvalleywiki.com/mediawiki/images/1/18/Dorado.png,普通:100; 银星:125; 金星:150; 铱星:200,普通:125; 银星:156; 金星:187; 铱星:250,普通:150; 银星:187; 金星:225; 铱星:300,河流（森林）,上午6:00至晚上7:00,夏季,任何,61~84,78 混合型,29,
青花鱼,"喜欢温度的""交界处""，即指冷水与温水交界的地方。",https://stardewvalleywiki.com/mediawiki/images/e/e1/Albacore.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,海洋,上午6:00至上午11:00; 下午6:00至凌晨2:00,秋季; 冬季,任何,51~104,60 混合型,23,"""烩鱼汤""任务"
西鲱,结群生活在海里，但会回到河里产卵。,https://stardewvalleywiki.com/mediawiki/images/e/ef/Shad.png,普通:60; 银星:75; 金星:90; 铱星:120,普通:75; 银星:93; 金星:112; 铱星:150,普通:90; 银星:112; 金星:135; 铱星:180,河流（小镇+森林）,上午9:00至凌晨2:00,春季; 夏季; 秋季,雨天,51~124,45 平滑型,18,河鱼收集包; 优质鱼收集包
蛇齿单线鱼,可怕的捕食者，会吞下一切可以吃下的东西。,https://stardewvalleywiki.com/mediawiki/images/8/87/Lingcod.png,普通:120; 银星:150; 金星:180; 铱星:240,普通:150; 银星:187; 金星:225; 铱星:300,普通:180; 银星:225; 金星:270; 铱星:360,河流（小镇+森林）; 深山湖泊,任意时间,冬季,任何,76~130,85 混合型,31,"""捕捞蛇齿单线鱼""任务"
大比目鱼,形状扁平、居住在大洋底的鱼。,https://stardewvalleywiki.com/mediawiki/images/0/02/Halibut.png,普通:80; 银星:100; 金星:120; 铱星:160,普通:100; 银星:125; 金星:150; 铱星:200,普通:120; 银星:150; 金星:180; 铱星:240,海洋,上午6:00至上午11:00; 晚上7:00至凌晨2:00,春季; 夏季; 冬季,任何,25~86,50 下坠型,19,
木跃鱼,一种十分敏感的鱼，只能在森林深处的水池中生存。,https://stardewvalleywiki.com/mediawiki/images/9/97/Woodskip.png,普通:75; 银星:93; 金星:112; 铱星:150,普通:93; 银星:116; 金星:140; 铱星:187,普通:112; 银星:139; 金星:168; 铱星:225,秘密森林池塘; 森林农场,任意时间,任意季节,任何,28~79,50 混合型,19,特色鱼类收集包
虚空鲑鱼,一条鲑鱼，被虚空力量所扭曲。新鲜的肉是墨黑色的，但当暴露于空气中时很快变成粉红色的了。,https://stardewvalleywiki.com/mediawiki/images/a/ad/Void_Salmon.png,普通:150; 银星:187; 金星:225; 铱星:300,普通:187; 银星:233; 金星:281; 铱星:375,普通:225; 银星:280; 金星:337; 铱星:450,巫婆沼泽,任意时间,任意季节,任何,61~168,80 混合型,29,失踪的收集包
史莱姆鱼,它身上裹了厚厚一层粘液，拿在手里总是要滑脱！,https://stardewvalleywiki.com/mediawiki/images/3/34/Slimejack.png,普通:100; 银星:125; 金星:150; 铱星:200,普通:125; 银星:156; 金星:187; 铱星:250,普通:150; 银星:187; 金星:225; 铱星:300,突变虫穴,任意时间,任意季节,任何,20~66,55 猛冲型,21,
黄貂鱼,虽然有毒刺，但这种鱼很害羞，喜欢避开人类。,https://stardewvalleywiki.com/mediawiki/images/3/3a/Stingray.png,普通:180; 银星:225; 金星:270; 铱星:360,普通:225; 银星:281; 金星:337; 铱星:450,普通:270; 银星:337; 金星:405; 铱星:540,海盗湾（姜岛）,任意时间,任意季节,任何,46~155,80 下坠型,29,
狮子鱼,好斗的食肉性鱼，有毒刺。,https://stardewvalleywiki.com/mediawiki/images/b/bb/Lionfish.png,普通:100; 银星:125; 金星:150; 铱星:200,普通:125; 银星:156; 金星:187; 铱星:250,普通:150; 银星:187; 金星:225; 铱星:300,姜岛海洋,任意时间,任意季节,任何,8~33,50 平滑型,19,
蓝铁饼鱼,色彩鲜艳的热带鱼，在水族馆很受欢迎。,https://stardewvalleywiki.com/mediawiki/images/e/ee/Blue_Discus.png,普通:120; 银星:150; 金星:180; 铱星:240,普通:150; 银星:187; 金星:225; 铱星:300,普通:180; 银星:225; 金星:270; 铱星:360,姜岛池塘和河流,任意时间,任意季节,任何,5~25,60 猛冲型,23,
虾虎鱼,有些虾虎鱼能攀上瀑布。,https://stardewvalleywiki.com/mediawiki/images/6/67/Goby.png,普通:150; 银星:187; 金星:225; 铱星:300,普通:187; 银星:233; 金星:281; 铱星:375,普通:225; 银星:280; 金星:337; 铱星:450,瀑布（煤矿森林）,任意时间,任意季节,任何,8~33,55 猛冲型,21,
